Expression,PitchAccent,Example,Type,Meaning,ExampleTranslate,Yomikata
自己肯定感[じここうていかん],, 今日[きょう]は、 自己肯定感[じここうていかん]について 話[はな]したいなと 思[おも]います。,心理學用語，近年日本社會常用詞彙,自我肯定感、自尊心,今天我想聊聊關於自我肯定感。,じここうていかん
ありのまま,,ありのままの 自分[じぶん]を 受[う]け 入[い]れられているかどうか。,《冰雪奇緣》主題曲讓此詞更廣為人知,最真實的樣子、原本的模樣,能否接受最真實的自己。,ありのまま
振[ふ]り 回[まわ]される,, 自己肯定感[じここうていかん]という 言葉[ことば]に 振[ふ]り 回[まわ]されてきた。,被動形，常用於描述被他人或事物影響,被牽著走、受影響,一直被「自我肯定感」這個詞牽著走。,ふりまわされる
へこむ,, 自分[じぶん]は 全然[ぜんぜん]できないなっていう 風[ふう]に、へこんでいた 時期[じき]がありました。,口語常用，原意為「凹陷」,感到沮喪、意志消沉,曾有一段時期覺得自己什麼都做不好而感到沮喪。,へこむ
窮屈[きゅうくつ],, 自分[じぶん]が 少[すこ]し 窮屈[きゅうくつ]に 感[かん]じてしまう 相手[あいて]はいると 思[おも]う。,也可形容衣服太緊,拘束、感到不自在,我想應該有讓自己感到不自在的對象吧。,きゅうくつ
素[す]を 出[だ]す,, 自分[じぶん]の 素[す]を 出[だ]しても 受[う]け 入[い]れてくれる 友達[ともだち]。,「素」指本性、真實面貌,展現真實本色、不做作,即使展現真實的自己也能被接受的朋友。,すをだす
胸[むね]を 張[は]って,, 自分[じぶん]をめっちゃ 好[す]きって 胸[むね]を 張[は]って 言[い]える 人[ひと]はそんなに 多[おお]くない。,慣用表現，表示自信,挺起胸膛、有自信地,能挺起胸膛說自己超喜歡自己的人沒那麼多。,むねをはって
ぐるぐる,, 頭[あたま]の 中[なか]で、ぐるぐる 考[かんが]えてしまうことがあるんですよ。,擬態語，形容不斷繞圈,腦袋轉個不停、鑽牛角尖,有時候腦袋會一直轉個不停地想。,ぐるぐる
脱線[だっせん],,すいません、ちょっと 脱線[だっせん]をしてしまったんですけど。,原意為電車出軌,離題、脫離軌道,抱歉，稍微離題了。,だっせん
キラキラしてる,,SNSでは 可愛[かわい]い 人[ひと]とかキラキラしてる 人[ひと]とかたくさんいる。,形容外表或生活令人羨慕,光鮮亮麗的、閃閃發光的,社群媒體上有很多可愛的人和光鮮亮麗的人。,きらきらしてる
しょうもない,,しょうもないことで 悩[なや]んでいたことが 多[おお]かった。,關西方言，全國通用的口語,無聊的、沒意義的,經常為無聊的事情煩惱。,しょうもない
反省会[はんせいかい],, 友達[ともだち]と 遊[あそ]びに 行[い]った 後[あと]は、 1人[ひとり]で 反省会[はんせいかい]をすることが 多[おお]かった。,日本人社交後常有的行為，獨自反省言行,檢討會（個人的自我反省）,和朋友出去玩之後，經常一個人開檢討會。,はんせいかい
相槌[あいづち]を 打[う]つ,,あまり 喋[しゃべ]らずに、ただ 相槌[あいづち]を 打[う]っているだけという 時[とき]もあった。,日本對話文化中重要的技巧,附和、隨聲應和,也有時候不太說話，只是隨聲附和而已。,あいづちをうつ
バリバリ,, 周[まわ]りの 友達[ともだち]は 仕事[しごと]もバリバリ 働[はたら]いてどんどん 成長[せいちょう]していってる。,擬態語，形容積極有活力,非常有幹勁地、努力地,周圍的朋友工作也很有幹勁，不斷成長。,ばりばり
切[き]りがない,,そういう 人[ひと]と 比[くら]べてたら、もう 切[き]りがない。,慣用表現,沒完沒了、無止境,如果一直跟那種人比較的話，沒完沒了。,きりがない
取[と]り 繕[つくろ]う,, 自分[じぶん]を 取[と]り 繕[つくろ]うのはやめて、このままの 自分[じぶん]でいっか。,常用於形容表面功夫,掩飾、裝模作樣,不再掩飾自己，就這樣做自己吧。,とりつくろう
ジャーナリング,,ジャーナリングで 気持[きも]ちを 整理[せいり]する。,近年流行的自我療癒方式,自由書寫、日誌治療,透過自由書寫整理心情。,じゃーなりんぐ
